21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student,
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful stude
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Smart student_first.py run
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Smart student_first.py / /tmp/hworker_check/Smart student_first.in
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:first/01@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=CheckC
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Smart student_first.py run
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Smart student_first.py / /tmp/hworker_check/Smart student_first.in
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:first/02@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=CheckC
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=Ch
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=C
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Smart student:first, TASK_ID=first, USER_ID=Smart student, catego
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Smart student_second.py run
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Smart student_second.py / /tmp/hworker_check/Smart student_second.in
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:second/01@Smart student:second, TASK_ID=second, USER_ID=Smart student, category=Che
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Smart student_second.py run
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Smart student_second.py / /tmp/hworker_check/Smart student_second.in
